id,repo,provenance,evidence,tier,nQuestions,real,paraphrase,synthetic,realPct2,paraphrasePct2,syntheticPct2,recordChars,paraphraseChars,syntheticChars
apache_airflow__40457,apache/airflow,human,none,empty,3,0,0,1.3333,0,0,66.6667,92,105,1060
apache_airflow__40491,apache/airflow,human,none,trivial,3,0,0,1.3333,0,0,66.6667,171,66,969
apache_airflow__40558,apache/airflow,human,none,substantive,4,0.2500,0.5000,1.7500,0,0,75,292,293,804
apache_airflow__40802,apache/airflow,human,none,trivial,4,0,0,0.5000,0,0,0,68,67,1958
apache_airflow__40809,apache/airflow,human,none,empty,3,0,0.3333,1.6667,0,0,66.6667,55,66,1336
apache_airflow__40854,apache/airflow,human,none,empty,4,0.2500,0.2500,0.7500,0,0,25,52,54,1237
apache_airflow__41200,apache/airflow,human,none,empty,3,0.3333,0,0.3333,0,0,0,51,72,811
apache_airflow__41277,apache/airflow,human,none,trivial,3,0,0,1.3333,0,0,66.6667,194,223,1170
apache_airflow__41296,apache/airflow,human,none,trivial,4,0,0.2500,2,0,0,100,78,91,1246
apache_airflow__41396,apache/airflow,human,none,empty,3,0,0,1,0,0,33.3333,60,75,1014
apache_airflow__41663,apache/airflow,human,none,trivial,4,0,0,1,0,0,25,236,183,1154
apache_airflow__41846,apache/airflow,human,none,substantive,4,0,0,1,0,0,25,923,913,1682
apache_airflow__42474,apache/airflow,human,none,substantive,3,0.6667,0.6667,1.3333,0,0,66.6667,352,370,1019
apache_airflow__42684,apache/airflow,human,none,substantive,3,0.6667,0.6667,2,0,33.3333,100,266,205,1458
apache_airflow__42758,apache/airflow,human,none,substantive,3,0.3333,0.3333,2,0,0,100,260,331,1160
apache_airflow__42761,apache/airflow,human,none,substantive,3,1,0.3333,0.6667,33.3333,0,33.3333,795,733,1443
apache_airflow__42770,apache/airflow,human,none,trivial,3,0,0,1.3333,0,0,66.6667,37,33,565
apache_airflow__42794,apache/airflow,human,none,empty,3,0,0,1,0,0,33.3333,33,43,976
apache_airflow__42865,apache/airflow,human,none,substantive,3,1,1,0.6667,33.3333,33.3333,0,511,439,1241
apache_airflow__43005,apache/airflow,human,none,substantive,3,0.6667,0.6667,0.6667,33.3333,33.3333,33.3333,249,309,462
apache_airflow__43159,apache/airflow,human,none,empty,4,0,0,0,0,0,0,22,22,1108
apache_airflow__43223,apache/airflow,human,none,empty,3,0,0,1.6667,0,0,66.6667,18,18,1713
apache_airflow__43669,apache/airflow,human,none,trivial,3,0,0,1,0,0,33.3333,145,175,1269
apache_airflow__44287,apache/airflow,human,none,empty,4,0,0,0.5000,0,0,25,20,31,845
apache_airflow__44433,apache/airflow,agent,agent-trailer,substantive,3,0,0,1,0,0,33.3333,331,329,1236
apache_airflow__44493,apache/airflow,human,none,trivial,3,0,0,1.3333,0,0,33.3333,40,52,1135
apache_airflow__44627,apache/airflow,human,none,substantive,3,0,0,0.6667,0,0,33.3333,269,312,1117
apache_airflow__44704,apache/airflow,human,none,trivial,3,0,0,1.6667,0,0,66.6667,134,154,1163
apache_airflow__44745,apache/airflow,human,none,trivial,3,0,0,2,0,0,100,130,158,883
apache_airflow__44778,apache/airflow,human,none,substantive,3,1.3333,1,1.6667,66.6667,33.3333,66.6667,521,569,999
apache_airflow__44880,apache/airflow,human,none,empty,3,0,0,1.3333,0,0,66.6667,48,61,832
apache_airflow__44939,apache/airflow,human,none,trivial,3,0.3333,0.6667,1.6667,0,0,66.6667,154,179,887
apache_airflow__45075,apache/airflow,human,none,substantive,4,0.2500,0.2500,1,0,0,25,3867,3887,1424
apache_airflow__45209,apache/airflow,human,none,trivial,3,0,0,1.3333,0,0,66.6667,91,114,799
apache_airflow__45397,apache/airflow,human,none,empty,4,0,0,1.2500,0,0,50,47,51,1262
apache_airflow__45722,apache/airflow,human,none,trivial,3,0.6667,1,1.3333,0,33.3333,66.6667,161,174,1081
apache_airflow__46037,apache/airflow,human,none,trivial,3,0,0,1.6667,0,0,66.6667,143,155,1117
apache_airflow__46063,apache/airflow,human,none,empty,3,0,0,1,0,0,33.3333,31,31,1130
apache_airflow__46073,apache/airflow,human,none,empty,3,0.3333,0,2,0,0,100,35,50,904
apache_airflow__46138,apache/airflow,human,none,trivial,3,0,0.3333,1.6667,0,0,66.6667,156,162,1555
apache_airflow__46142,apache/airflow,human,none,empty,3,0,0,1.6667,0,0,66.6667,56,67,841
apache_airflow__46574,apache/airflow,human,none,empty,3,0,0,0.6667,0,0,33.3333,42,48,772
apache_airflow__46826,apache/airflow,human,none,substantive,3,1.3333,1,1.3333,33.3333,33.3333,33.3333,343,375,982
apache_airflow__46848,apache/airflow,human,none,substantive,3,0.6667,0.3333,1.3333,33.3333,0,66.6667,147,173,752
apache_airflow__47124,apache/airflow,human,none,substantive,3,0.6667,0.6667,0.6667,33.3333,33.3333,0,150,171,759
apache_airflow__47241,apache/airflow,human,none,substantive,3,1,1,1.3333,33.3333,0,33.3333,266,296,1192
apache_airflow__48461,apache/airflow,human,none,substantive,3,0,0,1.6667,0,0,66.6667,320,322,1236
